,Sentence,Tokenized,Class,Label,Label tokenized,,
10,2 os si za ú?elom overenia identifikácie kuv zaobstarala nasledovné podklady a dokumenty: a/ výpis z obchodného registra pvs zo d?a 20, 2 . 2 os ú?elom overenia identifikácie kuv zaobstarala nasledovné podklady dokument : a/ výpis obchodný register pvs de? 20 ,majitel,0,0,,
11,"3 spolo?níci pvs: kuv, ktorý sa na základnom imaní pvs podie?a pe?ažným vkladom vo výške 3 300 eur, splateným v rozsahu 100 %, má 50% podiel na základnom imaní pvs"," 3 . 2 základný imanie pvs : 6 600 , eur ( slovo : šes?tisícšes?sto eur ) rozsah splatenie základný imania : 6 600 , eur ( slovo : šes?tisícšes?sto eur ) 3 . 3 spolo?níci pvs : kuv , základnom imaní pvs podie?a? pe?ažným vkladom výška 3 300 eur , splateným rozsahu 100 % , ma? 50 % podiel základnom imaní pvs ",majitel,1,1,,
12," kuv, ktorá sa na základnom imaní pvs podie?a pe?ažným vkladom vo výške 3 300 eur, splateným v rozsahu 100 %, má 50% podiel na základnom imaní pvs"," kuv , základnom imaní pvs podie?a? pe?ažným vkladom výška 3 300 eur , splateným rozsahu 100 % , ma? 50 % podiel základnom imaní pvs ",majitel,1,1,,
13," 3 spolo?enskej zmluvy pvs, sa po?et hlasov spolo?níkov u pvs ur?uje nasledovne: kuv, ktorý sa na základnom imaní pvs podie?a pe?ažným vkladom vo výške 3 300 eur má 50% podiel na hlasovacích právach v pvs"," “ oh?adom ?lánok 9 ods . 3 spolo?enskej zmluva pvs , po?et hlas spolo?níkov u pvs ur?ova? nasledovne : kuv , základnom imaní pvs podie?a? pe?ažným vkladom výška 3 300 eur ma? 50 % podiel hlasovacích právo pvs ",majitel,1,1,,
14," kuv, ktorá sa na základnom imaní pvs podie?a pe?ažným vkladom vo výške 3 300 eur má 50% podiel na hlasovacích právach v pvs"," kuv , základnom imaní pvs podie?a? pe?ažným vkladom výška 3 300 eur ma? 50 % podiel hlasovacích právo pvs ",majitel,1,1,,
15,"“ nako?ko spolo?enská zmluva pvs neur?uje inak, sa podiel hospodárskom prospechu z podnikania pvs ur?uje nasledovne: kuv, ktorý sa na základnom imaní pvs podie?a pe?ažným vkladom vo výške 3 300,- eur má 50% podiel na hospodárskom prospechu z podnikania pvs"," “ nako?ko spolo?enská zmluva pvs neur?uje inak , podiel hospodárskom prospechu podnikanie pvs ur?ova? nasledovne : kuv , základnom imaní pvs podie?a? pe?ažným vkladom výška 3 300 , - eur ma? 50 % podiel hospodárskom prospechu podnikanie pvs ",majitel,0,0,,
16,"6 kuv, ktorá sa na základnom imaní pvs podie?a pe?ažným vkladom vo výške 3 300,- eur má 50% podiel na hospodárskom prospechu z podnikania pvs","6 kuv , základnom imaní pvs podie?a? pe?ažným vkladom výška 3 300 , - eur ma? 50 % podiel hospodárskom prospechu podnikanie pvs ",majitel,1,1,,
17," vmkuv pvs, vmkuv pvs a spôsob konania vmkuv v mene pvs: vmkuv pvs sú konatelia kuv a szilvia kubovics"," vmkuv pvs , vmkuv pvs spôsob konania vmkuv mene pvs : vmkuv pvs by? konatelia kuv szilvia kubovics ",majitel,0,0,,
18," kuva, ktorá je momentálne zapísaná v obchodnom registri pri spolo?níkoch pvs (gazdovská 2697/19, komárno 945 01), sa zmenila na novú adresu - uj"," zápis vmkuv register 6 . 1 os vyhlasuje , pvs nie by? pvs $ 4 ods ",majitel,0,0,,
19," kuv, ktorá je momentálne zapísaná v obchodnom registri pri spolo?níkoch pvs (gazdovská 2697/19, komárno 945 01), sa zmenila na novú adresu - uj"," kuva , by? momentálne zapísaná obchodnom registri spolo?ník pvs ( gazdovská 2697/19 , komárno 945 01 ) , zmeni? adresa - uj ",majitel,0,0,,
20,1 tento verifika?ný dokument bol vypracovaný os v súlade so zákonom o registri pvs za ú?elom overenia identifikácie kuv a tvorí prílohu k návrhu na zápis zmeny údajov pvs ná sektora do registra pvs," kuv , by? momentálne zapísaná obchodnom registri spolo?ník pvs ( gazdovská 2697/19 , komárno 945 01 ) , zmeni? adresa - uj ",majitel,0,0,,
21, ,1 verifika?ný dokument by? vypracovaný os súlad zákon registri pvs ú?elom overenia identifikácie kuv tvori? prílohu návrh zápis zmena údajov pvs ná sektor register pvs ,majitel,0,0,,
22," os advokátska kancelária os, advokát, so sídlom hlavná 36, 981 01 hnúš?a, zapísaný v zozname slovenskej advokátskej komory pod ?íslom 1504 (?alej len ako „os kuv pvs: kuv, bytom k?ak 1011, 980 61 tisovec, narodený 26"," os advokátska kancelária os , advokát , sídlo hlavný 36 , 981 01 hnúš?a , zapísaný zozname slovenský advokátskej komory ?íslo 1504 ( ?alej „ os kuv pvs : kuv , bytom k?ak 1011 , 980 61 tisovec , narodený 26 ",majitel,0,0,,
23," odôvodnenie, na základe akých informácií identifikovala os kuv pvs: spolo?níkmi pvs sú fyzické osoby kuv, bytom k?ak 1011, 980 61 tisovec, narodený 26","1971 , štátny ob?an slovenský republika 1 . odôvodnenie , základ aký informácia identifikovala os kuv pvs : spolo?ník pvs by? fyzické osoba kuv , bytom k?ak 1011 , 980 61 tisovec , narodený 26 ",majitel,0,0,,
24," kuv ako spolo?ník pvs má právo vymenova?, inak ustanovi? alebo odvola? vmkuv riadiaci orgán, dozorný orgán alebo kontrolný orgán v pvs alebo akéhoko?vek ich ?lena"," kuv spolo?ník pvs ma? právo vymenova? , inak ustanovi? odvola? vmkuv riadiaci orgán , dozorný orgán kontrolný orgán pvs akýko?vek ?len ",majitel,1,1,,
25," vlastnícka a riadiaca štruktúra pvs: vlastnícka štruktúra pvs: spolo?níkom pvs je: kuv, bytom k?ak 1011, 980 61 tisovec, narodený 26"," 2 . vlastnícka riadiaca štruktúra pvs : vlastnícka štruktúra pvs : spolo?níkom pvs by? : kuv , bytom k?ak 1011 , 980 61 tisovec , narodený 26 ",majitel,1,1,,
26," 100% kuv riadiaca štruktúra pvs: konate?om pvs je: kuv, bytom k?ak 1011, 980 61 tisovec, narodený 26"," 100 % kuv riadiaca štruktúra pvs : konate?om pvs by? : kuv , bytom k?ak 1011 , 980 61 tisovec , narodený 26 ",majitel,0,0,,
27," tohto dokumentu vyplývajú z aktuálneho výpisu pvs zobchodné registra sr, z úplného znenia spolo?enskej zmluvy pvs, ako aj zo samostatného vyjadrenia pvs a kuv a podpísaného ?estného vyhlásenia"," dokument vyplýva? aktuálneho výpisu pvs zobchodný register sr , úplný znenia spolo?enskej zmluva pvs , samostatný vyjadrenie pvs kuv podpísaného ?estný vyhlásenie ",majitel,0,0,,
28,"os, advokát advokátska kancelária sídlo: hlavná 36, 981 01 hnúš?a zapísaný v zozname advokátov slovenskej advokátskej komory pod ?íslom 1504 iii verifika?ný dokument preukazujúci identifikáciu kuv pvs pod?a ustanovenia 8 11 ods","os , advokát advokátska kancelária sídlo : hlavný 36 , 981 01 hnúš?a zapísaný zozname advokátov slovenský advokátskej komory ?íslo 1504 iii verifika?ný dokument preukazujúci identifikácia kuv pvs ustanovenie 8 11 ods ",majitel,0,0,,
29," os advokátska kancelária os, advokát, so sídlom hlavná 36, 981 01 hnúš?a, zapísaný v zozname slovenskej advokátskej komory pod ?íslom 1504 (?alej len ako „os kuv pvs: kuv, bytom k?ak 1011, 980 61 tisovec, narodený 26"," os advokátska kancelária os , advokát , sídlo hlavný 36 , 981 01 hnúš?a , zapísaný zozname slovenský advokátskej komory ?íslo 1504 ( ?alej „ os kuv pvs : kuv , bytom k?ak 1011 , 980 61 tisovec , narodený 26 ",majitel,0,0,,
30," odôvodnenie, na základe akých informácií identifikovala os kuv pvs: spolo?níkmi pvs sú fyzické osoby kuv, bytom k?ak 1011, 980 61 tisovec, narodený 26","1971 , štátny ob?an slovenský republika 1 . odôvodnenie , základ aký informácia identifikovala os kuv pvs : spolo?ník pvs by? fyzické osoba kuv , bytom k?ak 1011 , 980 61 tisovec , narodený 26 ",majitel,1,1,,
31," kuv kuv vlastní obchodný podiel vpvs, ktorý zodpovedá hodnote vkladu na základnom imaní vo výške 25"," kuv kuv vlastní obchodný podiel vpvs , zodpovedá hodnota vkladu základnom imaní výška 25 ",majitel,1,1,,
32," kuv ako spolo?ník pvs má právo vymenova?, inak ustanovi? alebo odvola? vmkuv riadiaci orgán, dozorný orgán alebo kontrolný orgán v pvs alebo akéhoko?vek ich ?lena"," kuv spolo?ník pvs ma? právo vymenova? , inak ustanovi? odvola? vmkuv riadiaci orgán , dozorný orgán kontrolný orgán pvs akýko?vek ?len ",majitel,1,1,,
33, kuv ako spolo?ník má právo na hospodársky prospech vrozsahu 80 % z podnikania pvs alebo z inej jej ?innosti, kuv spolo?ník ma? právo hospodársky prospech vrozsahu 80 % podnikanie pvs iný ?innos? ,majitel,1,1,,
34," 100% kuv riadiaca štruktúra pvs: konate?om pvs je: kuv, bytom k?ak 1011, 980 61 tisovec, narodený 26"," 100 % kuv riadiaca štruktúra pvs : konate?om pvs by? : kuv , bytom k?ak 1011 , 980 61 tisovec , narodený 26 ",majitel,0,0,,
35," overenie kuv akonate?a pvs bolo vykonané na základe platných ob?ianskych preukazov, ktorých kópiu zo súhlasov dotknutých osôb os uchováva"," overenie kuv akonate?a pvs by? vykonané základ platný ob?ianskych preukazov , kópiu súhlasov dotknutých osoba os uchováva ",majitel,0,0,,
36, o registri pvs a o zmene a doplnení niektorých zákonov v znení neskorších predpisov za ú?elom preukázania overenia identifikácie kuv pvs, registri pvs zmena doplnení zákon znení neskorý predpis ú?elom preukázanie overenia identifikácie kuv pvs ,majitel,0,0,,
37," obchodný zákonník v znení neskorších spolo?níkom pvs s 33 % podielom na jeho základnom imaní, hlasovacích právach azisku/likvida?nom zostatku je kuv, narodený d?a 21","1964 , ob?iansky slovenský republika , trvalý pobyt mokrý lúka 278 , 050 01 mokrý lúka , slovenský republika , kuv spolo?nos? , : 1 . ) mápriamy nepriamy podiel sú?et najmenej 25 % hlasovacích právo spolo?nos? pvs základnom imaní , 2 . ) ma? právo vymenova? , inak ustanovi? odvola? vmkuv riadiaci orgán , dozorný orgán kontrolný orgán spolo?nos? pvs akýko?vek ?len , 3 ",majitel,1,1,,
38,"1987, ob?an slovenskej republiky, trvalý pobyt mokrá lúka strana 3 z 6 (d) (e) (f) 268, 050 01 mokrá lúka, slovenská republika, spolo?níkom pvs s 33 % podielom na jeho základnom imaní, hlasovacích právach a zisku/likvida?nom zostatku je kuv, narodená d?a 14"," obchodný zákonník znení neskorý spolo?níkom pvs 33 % podielom základnom imaní , hlasovacích právo azisku/likvida?nom zostatku by? kuv , narodený de? 21 ",majitel,1,1,,
39," bodického 1524/21, 050 01 revúca, slovenská republika a spolo?níkom pvs s 34 % podielom na jeho základnom imaní, hlasovacích právach a zisku/likvida?nom zostatku je kuv, narodená d?a 3","1987 , ob?an slovenský republika , trvalý pobyt mokrý lúka strana 3 6 ( d ) ( e ) ( f ) 268 , 050 01 mokrý lúka , slovenský republika , spolo?níkom pvs 33 % podielom základnom imaní , hlasovacích právo zisku/likvida?nom zostatku by? kuv , narodená de? 14 ",majitel,1,1,,
40," spolo?níkom pvs s 33 % podielom na jeho základnom imaní, hlasovacích právach a zisku/likvida?nom zostatku je kuv, narodený d?a 21"," bodického 1524/21 , 050 01 revúca , slovenský republika spolo?níkom pvs 34 % podielom základnom imaní , hlasovacích právo zisku/likvida?nom zostatku by? kuv , narodená de? 3 ",majitel,1,1,,
41,"1987, ob?an slovenskej republiky, trvalý pobyt mokrá lúka 268, 050 01 mokrá lúka, slovenská republika, spolo?níkom pvs s 33 % podielom na jeho základnom imaní, hlasovacích právach a zisku/likvida?nom zostatku je kuv, narodená d?a 14"," spolo?níkom pvs 33 % podielom základnom imaní , hlasovacích právo zisku/likvida?nom zostatku by? kuv , narodený de? 21 ",majitel,1,1,,
42," bodického 1524/21, 050 01 revúca, slovenská republika a spolo?níkom pvs s 34 % podielom na jeho základnom imaní, hlasovacích právach a zisku/likvida?nom zostatku je strana 4 z 6 kuv, narodená d?a 3","1987 , ob?an slovenský republika , trvalý pobyt mokrý lúka 268 , 050 01 mokrý lúka , slovenský republika , spolo?níkom pvs 33 % podielom základnom imaní , hlasovacích právo zisku/likvida?nom zostatku by? kuv , narodená de? 14 ",majitel,1,1,,
43," (f) pvs má zriadené odštepné závody s ozna?ením pvs, odštepný závod hucín a pvs, odštepný závod tisovec, ktorých vedúcou je pani kuv, narodená d?a 14"," bodického 1524/21 , 050 01 revúca , slovenský republika spolo?níkom pvs 34 % podielom základnom imaní , hlasovacích právo zisku/likvida?nom zostatku by? strana 4 6 kuv , narodená de? 3 ",majitel,0,1,,
44,verifika?ný dokument k overeniu identifikácie kuv spolo?nosti pvs - ako pvs - vypracovaný advokátskou kanceláriou polá?ek £ pvs s," ( f ) pvs ma? zriadené odštepné závody ozna?ením pvs , odštepný závod hucín pvs , odštepný závod tisovec , vedúcou by? pani kuv , narodená de? 14 ",majitel,0,0,,
45, o registri pvs a o zmene a doplnení niektorých zákonov v znení neskorších predpisov za ú?elom preukázania overenia identifikácie kuv pvs,verifika?ný dokument overeniu identifikácie kuv spolo?nos? pvs - pvs - vypracovaný advokátskou kanceláriou polá?ek £ pvs ,majitel,0,0,,
46," 114802/b (?alej len „os identifikácia kuv (a) os si za ú?elom overenia identifikácie kuv vyžiadala od pvs dokumenty, ktoré jej boli v požadovanom rozsahu poskytnuté, ide najmä o: (1) aktuálny výpis z obchodného registra pvs pre právne úkony, (il) úplne znenie spolo?enskej zmluvy pvs vo forme notárskej zápisnice zo d?a 28", registri pvs zmena doplnení zákon znení neskorý predpis ú?elom preukázanie overenia identifikácie kuv pvs ,majitel,0,0,,
47,") má právo vymenova?, inak ustanovi? alebo odvola? vmkuv riadiaci orgán, dozorný orgán alebo kontrolný orgán v spolo?nosti pvs alebo akéhoko?vek ich ?lena, 3"," 114802/b ( ?alej „ os identifikácia kuv ( ) os ú?elom overenia identifikácie kuv vyžiadala pvs dokument , by? požadovanom rozsahu poskytnuté , ís? najmä : ( 1 ) aktuálny výpis obchodný register pvs právny úkony , ( il ) úplne znenie spolo?enskej zmluva pvs forme notárskej zápisnice de? 28 ",majitel,0,0,,
48," o ochrane verejného záujmu pri výkone funkcií verejných funkcionárov v znení neskorších predpisov, všetky dokumenty a informácie predložené a poskytnuté os sú pravdivé, aktuálne, úplné, zodpovedajú skuto?nému stavu aku d?u podpisu tohto ?estného vyhlásenia nenastali žiadne skuto?nosti, ktoré by mohli ma? vplyv na ich pravdivos?, aktuálnos? a úplnos?, nezaml?ala žiadne dokumenty a informácie potrebné pre identifikáciu kuv z vyššie uvedených dokumentov preskúmaných os vyplýva, že pvs je spolo?nos?ou s ru?ením obmedzeným zriadenou pod?a $ 105 a nasl","1964 , ob?iansky slovenský republika , trvalý pobyt mokrý lúka 278 , 050 01 mokrý lúka , slovenský republika , kuv spolo?nos? , : 1 . ) mápriamy nepriamy podiel sú?et najmenej 25 % hlasovacích právo spolo?nos? pvs základnom imaní , 2 . ) ma? právo vymenova? , inak ustanovi? odvola? vmkuv riadiaci orgán , dozorný orgán kontrolný orgán spolo?nos? pvs akýko?vek ?len , 3 . ) ovláda pvs iný spôsob , by? uvedený druhý bode , 4 . ) máprávo hospodársky prospech najmenej 25 % podnikanie pvs iný ?innos? , 5 ",majitel,0,0,,
49," (d) vmkuv pvs sú konatelia: , pán ing"," ochrane verejný záujem výkone funkcia verejný funkcionár znení neskorý predpis , dokument informácia predložené poskytnuté os by? pravdivý , aktuálne , úplný , zodpoveda? skuto?nému stav aku d?u podpis ?estný vyhlásenie nenastali žiadny skuto?nos? , ma? vplyv pravdivos? , aktuálnos? úplnos? , nezaml?ala žiadny dokument informácia potrebný identifikácia kuv vysoko uvedený dokument preskúmaný os vyplýva , pvs by? spolo?nos? ru?eniem obmedzeným zriadenou $ 105 nasl ",majitel,0,0,,
50," (e) spôsob konania vmkuv v mene pvs: za spolo?nos? konajú a podpisujú konatelia samostatne tak, že k obchodnému menu spolo?nosti pripoja svoj vlastnoru?ný podpis"," ( d ) vmkuv pvs by? konatelia : , pán ing ",majitel,0,0,,
51," vyhlásenie os os vyhlasuje, že pri overení identifikácie kuv pvs postupovala nestranne a s odbornou starostlivos?ou, pri?om strana 5 z 6 skuto?nosti uvedené v tomto verifika?nom dokumente zodpovedajú ?ou skuto?ne zistenému stavu"," ( e ) spôsob konania vmkuv mene pvs : spolo?nos? kona? podpisujú konatelia samostatne , obchodnému menu spolo?nos? pripoja vlastnoru?ný podpis ",majitel,0,0,,
52, ," vyhlásenie os os vyhlasuje , overení identifikácie kuv pvs postupovala nestranne odborný starostlivos?ou , pri?om strana 5 6 skuto?nos? uvedený verifika?nom dokument zodpoveda? skuto?ne zistenému stav ",majitel,0,0,,
53, o registri pvs a o zmene a doplnení niektorých zákonov tento verifika?ný dokument preukazuje identifikáciu kuv a overenie identifikácie kuv jeho obsahové náležitosti upravuje $ 11 ods, registri pvs zmena doplnení zákon verifika?ný dokument preukazuje identifikácia kuv overenie identifikácie kuv obsahové náležitosti upravuje $ 11 ods ,majitel,0,0,,
54, dôvodom vytvorenia tohto dokumentu je špecifikácia vlastníckej a riadiacej štruktúry pvs a prvotné overenie kuv verifika?ný dokument obsahuje a uvádza vlastnícku štruktúru a riadiacu štruktúru pvs, dôvod vytvorenie dokument by? špecifikácia vlastnícky riadiacej štruktúry pvs prvotné overenie kuv verifika?ný dokument obsahova? uvádza? vlastnícku štruktúru riadiacu štruktúru pvs ,majitel,0,0,,
55," os v rámci obstarania informácií o „kúv“ s dôrazom na konanie s odbornou starostlivos?ou, požiadala okrem iného zo strany „pvs“ predloži? ?estné vyhlásenie kuv v zmysle ktorých sú „kuv“ za „pvs“ osoby spolo?níkov"," os rámec obstaranie informácia „ kúv “ dôraz konanie odborný starostlivos?ou , požiadala okrem iný strana „ pvs “ predloži? ?estné vyhlásenie kuv zmysel by? „ kuv “ „ pvs “ osoba spolo?níkov ",majitel,0,0,,
56, dôvodom vytvorenia tohto dokumentu je špecifikácia vlastníckej a riadiacej štruktúry pvs a prvotné overenie kuv verifika?ný dokument obsahuje a uvádza vlastnícku štruktúru a riadiacu štruktúru pvs, dôvod vytvorenie dokument by? špecifikácia vlastnícky riadiacej štruktúry pvs prvotné overenie kuv verifika?ný dokument obsahova? uvádza? vlastnícku štruktúru riadiacu štruktúru pvs ,majitel,0,0,,
57," os v rámci obstarania informácií o „kúv“ s dôrazom na konanie s odbornou starostlivos?ou, požiadala okrem iného zo strany „pvs“ predloži? ?estné vyhlásenie kuv v zmysle ktorých sú „kuv“ za „pvs“ osoby spolo?níkov"," os rámec obstaranie informácia „ kúv “ dôraz konanie odborný starostlivos?ou , požiadala okrem iný strana „ pvs “ predloži? ?estné vyhlásenie kuv zmysel by? „ kuv “ „ pvs “ osoba spolo?níkov ",majitel,0,0,,
58, a) zákona o rpvs pre ú?ely identifikácie kuv (?alej len „kúv“) boli os zaobstarané a preskúmané v zmysle § 11 ods, identifikácia kuv pvs § 11 ods . 5 písm . ) zákon rpvs ú?el identifikácie kuv ( ?alej „ kúv “ ) by? os zaobstarané preskúmané zmysel § 11 ods ,majitel,0,0,,
59, odôvodnenie os na základe akých informácii identifikovala kúv: os identifikovala a overila identifikáciu jedného kúv pvs a to: meno a priezvisko: kuv dátum narodenia: 8, odôvodnenie os základ aký informácii identifikovala kúv : os identifikovala overila identifikácia jeden kúv pvs : meno priezvisko : kuv dátum narodenie : 8 ,majitel,0,0,,
60," spolo?ník pvs má 100% podiel na základnom imaní a hlasovacích právach pvs ma právo ako spolo?ník pvs hlasova? o vymenovaní alebo odvolaní vmkuv spolo?nosti, riadiacich orgánov, kontrolných alebo dozorných 2 orgánov pvs a ma právo na hospodársky prospech vo výške 100% z podnikania pvs ?ím sp??a definíciu kúv v zmysle zákona o rpvs v spojitosti s § 6a ods"," spolo?ník pvs ma? 100 % podiel základnom imaní hlasovacích právo pvs právo spolo?ník pvs hlasova? vymenovaní odvolaní vmkuv spolo?nos? , riadiacich orgán , kontrolný dozorných 2 orgán pvs právo hospodársky prospech výška 100 % podnikanie pvs sp??a definícium kúv zmysel zákon rpvs spojitosti § 6a ods ",majitel,1,1,,
61,"000,00 €, b) skuto?ne ovláda a kontroluje pvs nako?ko ako jeho jediný spolo?ník má 100% podiel na základnom imaní a hlasovacích právach pvs má právo ako spolo?ník pvs hlasova? o vymenovaní alebo odvolaní vmkuv spolo?nosti, riadiacich orgánov, kontrolných alebo dozorných orgánov pvs a má právo na hospodársky prospech vo výške 100% z podnikania pvs c) nie je verejným funkcionárom vykonávajúcim funkciu v slovenskej republike, d) pvs nemá uzatvorený právny vz?ah na základe zmluvy o tichom spolo?enstve s tre?ou osobou, e) nemá uzatvorený vz?ah s tre?ou osobou, ktorý by ho obmedzoval v práve vymenova? a odvola? vmkuv riadiaci orgán, dozorný orgán alebo kontrolný orgán pvs f) nemá uzatvorený iný právny vz?ah s tre?ou osobou, ktorý by ho obmedzoval vo výkone práv spolo?níka u pvs g) nemá uzatvorený právny vz?ah s tre?ou osobou, na základe ktorého by mala tretia osoba nárok na hospodársky prospech z podnikania pvs alebo z inej jej ?innosti, h) nepreviedol svoje právo na vyplatenie podielu zo zisku pvs na tretiu osobu, i) nepreviedol svoje hlasovacie práva u pvs na tretiu osobu","000 ,00 € , b ) skuto?ne ovláda kontroluje pvs nako?ko jediný spolo?ník ma? 100 % podiel základnom imaní hlasovacích právo pvs ma? právo spolo?ník pvs hlasova? vymenovaní odvolaní vmkuv spolo?nos? , riadiacich orgán , kontrolný dozorných orgán pvs ma? právo hospodársky prospech výška 100 % podnikanie pvs c ) nie by? verejný funkcionárom vykonávajúcim funkcia slovenský republike , d ) pvs nema? uzatvorený právny vz?ah základ zmluva tichom spolo?enstvo tre?ou osobou , e ) nema? uzatvorený vz?ah tre?ou osobou , obmedzoval vymenova? odvola? vmkuv riadiaci orgán , dozorný orgán kontrolný orgán pvs f ) nema? uzatvorený iný právny vz?ah tre?ou osobou , obmedzoval výkone právo spolo?ník u pvs g ) nema? uzatvorený právny vz?ah tre?ou osobou , základ ma? tretí osoba nárok hospodársky prospech podnikanie pvs iný ?innos? , h ) nepreviedol právo vyplatenie podiel zisku pvs tretiu osobu , ) nepreviedol hlasovacie právo u pvs tretiu osobu ",majitel,1,1,,
