,Sentence,Tokenized,Class,Label
10,2 os si za účelom overenia identifikácie kuv zaobstarala nasledovné podklady a dokumenty: a/ výpis z obchodného registra pvs zo dňa 20, 2 . 2 os účelom overenia identifikácie kuv zaobstarala nasledovné podklady dokument : a/ výpis obchodný register pvs deň 20 ,majitel,0
11,"3 spoločníci pvs: kuv, ktorý sa na základnom imaní pvs podieľa peňažným vkladom vo výške 3 300 eur, splateným v rozsahu 100 %, má 50% podiel na základnom imaní pvs"," 3 . 2 základný imanie pvs : 6 600 , eur ( slovo : šesťtisícšesťsto eur ) rozsah splatenie základný imania : 6 600 , eur ( slovo : šesťtisícšesťsto eur ) 3 . 3 spoločníci pvs : kuv , základnom imaní pvs podieľať peňažným vkladom výška 3 300 eur , splateným rozsahu 100 % , mať 50 % podiel základnom imaní pvs ",majitel,0
12," kuv, ktorá sa na základnom imaní pvs podieľa peňažným vkladom vo výške 3 300 eur, splateným v rozsahu 100 %, má 50% podiel na základnom imaní pvs"," kuv , základnom imaní pvs podieľať peňažným vkladom výška 3 300 eur , splateným rozsahu 100 % , mať 50 % podiel základnom imaní pvs ",majitel,0
13," 3 spoločenskej zmluvy pvs, sa počet hlasov spoločníkov u pvs určuje nasledovne: kuv, ktorý sa na základnom imaní pvs podieľa peňažným vkladom vo výške 3 300 eur má 50% podiel na hlasovacích právach v pvs"," “ ohľadom článok 9 ods . 3 spoločenskej zmluva pvs , počet hlas spoločníkov u pvs určovať nasledovne : kuv , základnom imaní pvs podieľať peňažným vkladom výška 3 300 eur mať 50 % podiel hlasovacích právo pvs ",majitel,0
14," kuv, ktorá sa na základnom imaní pvs podieľa peňažným vkladom vo výške 3 300 eur má 50% podiel na hlasovacích právach v pvs"," kuv , základnom imaní pvs podieľať peňažným vkladom výška 3 300 eur mať 50 % podiel hlasovacích právo pvs ",majitel,0
15,"“ nakoľko spoločenská zmluva pvs neurčuje inak, sa podiel hospodárskom prospechu z podnikania pvs určuje nasledovne: kuv, ktorý sa na základnom imaní pvs podieľa peňažným vkladom vo výške 3 300,- eur má 50% podiel na hospodárskom prospechu z podnikania pvs"," “ nakoľko spoločenská zmluva pvs neurčuje inak , podiel hospodárskom prospechu podnikanie pvs určovať nasledovne : kuv , základnom imaní pvs podieľať peňažným vkladom výška 3 300 , - eur mať 50 % podiel hospodárskom prospechu podnikanie pvs ",majitel,0
16,"6 kuv, ktorá sa na základnom imaní pvs podieľa peňažným vkladom vo výške 3 300,- eur má 50% podiel na hospodárskom prospechu z podnikania pvs","6 kuv , základnom imaní pvs podieľať peňažným vkladom výška 3 300 , - eur mať 50 % podiel hospodárskom prospechu podnikanie pvs ",majitel,0
17," vmkuv pvs, vmkuv pvs a spôsob konania vmkuv v mene pvs: vmkuv pvs sú konatelia kuv a szilvia kubovics"," vmkuv pvs , vmkuv pvs spôsob konania vmkuv mene pvs : vmkuv pvs byť konatelia kuv szilvia kubovics ",majitel,0
18," kuva, ktorá je momentálne zapísaná v obchodnom registri pri spoločníkoch pvs (gazdovská 2697/19, komárno 945 01), sa zmenila na novú adresu - uj"," zápis vmkuv register 6 . 1 os vyhlasuje , pvs nie byť pvs $ 4 ods ",majitel,0
19," kuv, ktorá je momentálne zapísaná v obchodnom registri pri spoločníkoch pvs (gazdovská 2697/19, komárno 945 01), sa zmenila na novú adresu - uj"," kuva , byť momentálne zapísaná obchodnom registri spoločník pvs ( gazdovská 2697/19 , komárno 945 01 ) , zmeniť adresa - uj ",majitel,0
20,1 tento verifikačný dokument bol vypracovaný os v súlade so zákonom o registri pvs za účelom overenia identifikácie kuv a tvorí prílohu k návrhu na zápis zmeny údajov pvs ná sektora do registra pvs," kuv , byť momentálne zapísaná obchodnom registri spoločník pvs ( gazdovská 2697/19 , komárno 945 01 ) , zmeniť adresa - uj ",majitel,0
21, ,1 verifikačný dokument byť vypracovaný os súlad zákon registri pvs účelom overenia identifikácie kuv tvoriť prílohu návrh zápis zmena údajov pvs ná sektor register pvs ,majitel,0
22," os advokátska kancelária os, advokát, so sídlom hlavná 36, 981 01 hnúšťa, zapísaný v zozname slovenskej advokátskej komory pod číslom 1504 (ďalej len ako „os kuv pvs: kuv, bytom kľak 1011, 980 61 tisovec, narodený 26"," os advokátska kancelária os , advokát , sídlo hlavný 36 , 981 01 hnúšťa , zapísaný zozname slovenský advokátskej komory číslo 1504 ( ďalej „ os kuv pvs : kuv , bytom kľak 1011 , 980 61 tisovec , narodený 26 ",majitel,0
23," odôvodnenie, na základe akých informácií identifikovala os kuv pvs: spoločníkmi pvs sú fyzické osoby kuv, bytom kľak 1011, 980 61 tisovec, narodený 26","1971 , štátny občan slovenský republika 1 . odôvodnenie , základ aký informácia identifikovala os kuv pvs : spoločník pvs byť fyzické osoba kuv , bytom kľak 1011 , 980 61 tisovec , narodený 26 ",majitel,0
24," kuv ako spoločník pvs má právo vymenovať, inak ustanoviť alebo odvolať vmkuv riadiaci orgán, dozorný orgán alebo kontrolný orgán v pvs alebo akéhokoľvek ich člena"," kuv spoločník pvs mať právo vymenovať , inak ustanoviť odvolať vmkuv riadiaci orgán , dozorný orgán kontrolný orgán pvs akýkoľvek člen ",majitel,0
25," vlastnícka a riadiaca štruktúra pvs: vlastnícka štruktúra pvs: spoločníkom pvs je: kuv, bytom kľak 1011, 980 61 tisovec, narodený 26"," 2 . vlastnícka riadiaca štruktúra pvs : vlastnícka štruktúra pvs : spoločníkom pvs byť : kuv , bytom kľak 1011 , 980 61 tisovec , narodený 26 ",majitel,0
26," 100% kuv riadiaca štruktúra pvs: konateľom pvs je: kuv, bytom kľak 1011, 980 61 tisovec, narodený 26"," 100 % kuv riadiaca štruktúra pvs : konateľom pvs byť : kuv , bytom kľak 1011 , 980 61 tisovec , narodený 26 ",majitel,0
27," tohto dokumentu vyplývajú z aktuálneho výpisu pvs zobchodné registra sr, z úplného znenia spoločenskej zmluvy pvs, ako aj zo samostatného vyjadrenia pvs a kuv a podpísaného čestného vyhlásenia"," dokument vyplývať aktuálneho výpisu pvs zobchodný register sr , úplný znenia spoločenskej zmluva pvs , samostatný vyjadrenie pvs kuv podpísaného čestný vyhlásenie ",majitel,0
28,"os, advokát advokátska kancelária sídlo: hlavná 36, 981 01 hnúšťa zapísaný v zozname advokátov slovenskej advokátskej komory pod číslom 1504 iii verifikačný dokument preukazujúci identifikáciu kuv pvs podľa ustanovenia 8 11 ods","os , advokát advokátska kancelária sídlo : hlavný 36 , 981 01 hnúšťa zapísaný zozname advokátov slovenský advokátskej komory číslo 1504 iii verifikačný dokument preukazujúci identifikácia kuv pvs ustanovenie 8 11 ods ",majitel,0
29," os advokátska kancelária os, advokát, so sídlom hlavná 36, 981 01 hnúšťa, zapísaný v zozname slovenskej advokátskej komory pod číslom 1504 (ďalej len ako „os kuv pvs: kuv, bytom kľak 1011, 980 61 tisovec, narodený 26"," os advokátska kancelária os , advokát , sídlo hlavný 36 , 981 01 hnúšťa , zapísaný zozname slovenský advokátskej komory číslo 1504 ( ďalej „ os kuv pvs : kuv , bytom kľak 1011 , 980 61 tisovec , narodený 26 ",majitel,0
30," odôvodnenie, na základe akých informácií identifikovala os kuv pvs: spoločníkmi pvs sú fyzické osoby kuv, bytom kľak 1011, 980 61 tisovec, narodený 26","1971 , štátny občan slovenský republika 1 . odôvodnenie , základ aký informácia identifikovala os kuv pvs : spoločník pvs byť fyzické osoba kuv , bytom kľak 1011 , 980 61 tisovec , narodený 26 ",majitel,0
31," kuv kuv vlastní obchodný podiel vpvs, ktorý zodpovedá hodnote vkladu na základnom imaní vo výške 25"," kuv kuv vlastní obchodný podiel vpvs , zodpovedá hodnota vkladu základnom imaní výška 25 ",majitel,0
32," kuv ako spoločník pvs má právo vymenovať, inak ustanoviť alebo odvolať vmkuv riadiaci orgán, dozorný orgán alebo kontrolný orgán v pvs alebo akéhokoľvek ich člena"," kuv spoločník pvs mať právo vymenovať , inak ustanoviť odvolať vmkuv riadiaci orgán , dozorný orgán kontrolný orgán pvs akýkoľvek člen ",majitel,0
33, kuv ako spoločník má právo na hospodársky prospech vrozsahu 80 % z podnikania pvs alebo z inej jej činnosti, kuv spoločník mať právo hospodársky prospech vrozsahu 80 % podnikanie pvs iný činnosť ,majitel,0
34," 100% kuv riadiaca štruktúra pvs: konateľom pvs je: kuv, bytom kľak 1011, 980 61 tisovec, narodený 26"," 100 % kuv riadiaca štruktúra pvs : konateľom pvs byť : kuv , bytom kľak 1011 , 980 61 tisovec , narodený 26 ",majitel,0
35," overenie kuv akonateľa pvs bolo vykonané na základe platných občianskych preukazov, ktorých kópiu zo súhlasov dotknutých osôb os uchováva"," overenie kuv akonateľa pvs byť vykonané základ platný občianskych preukazov , kópiu súhlasov dotknutých osoba os uchováva ",majitel,0
36, o registri pvs a o zmene a doplnení niektorých zákonov v znení neskorších predpisov za účelom preukázania overenia identifikácie kuv pvs, registri pvs zmena doplnení zákon znení neskorý predpis účelom preukázanie overenia identifikácie kuv pvs ,majitel,0
37," obchodný zákonník v znení neskorších spoločníkom pvs s 33 % podielom na jeho základnom imaní, hlasovacích právach azisku/likvidačnom zostatku je kuv, narodený dňa 21","1964 , občiansky slovenský republika , trvalý pobyt mokrý lúka 278 , 050 01 mokrý lúka , slovenský republika , kuv spoločnosť , : 1 . ) mápriamy nepriamy podiel súčet najmenej 25 % hlasovacích právo spoločnosť pvs základnom imaní , 2 . ) mať právo vymenovať , inak ustanoviť odvolať vmkuv riadiaci orgán , dozorný orgán kontrolný orgán spoločnosť pvs akýkoľvek člen , 3 ",majitel,0
38,"1987, občan slovenskej republiky, trvalý pobyt mokrá lúka strana 3 z 6 (d) (e) (f) 268, 050 01 mokrá lúka, slovenská republika, spoločníkom pvs s 33 % podielom na jeho základnom imaní, hlasovacích právach a zisku/likvidačnom zostatku je kuv, narodená dňa 14"," obchodný zákonník znení neskorý spoločníkom pvs 33 % podielom základnom imaní , hlasovacích právo azisku/likvidačnom zostatku byť kuv , narodený deň 21 ",majitel,0
39," bodického 1524/21, 050 01 revúca, slovenská republika a spoločníkom pvs s 34 % podielom na jeho základnom imaní, hlasovacích právach a zisku/likvidačnom zostatku je kuv, narodená dňa 3","1987 , občan slovenský republika , trvalý pobyt mokrý lúka strana 3 6 ( d ) ( e ) ( f ) 268 , 050 01 mokrý lúka , slovenský republika , spoločníkom pvs 33 % podielom základnom imaní , hlasovacích právo zisku/likvidačnom zostatku byť kuv , narodená deň 14 ",majitel,0
40," spoločníkom pvs s 33 % podielom na jeho základnom imaní, hlasovacích právach a zisku/likvidačnom zostatku je kuv, narodený dňa 21"," bodického 1524/21 , 050 01 revúca , slovenský republika spoločníkom pvs 34 % podielom základnom imaní , hlasovacích právo zisku/likvidačnom zostatku byť kuv , narodená deň 3 ",majitel,0
41,"1987, občan slovenskej republiky, trvalý pobyt mokrá lúka 268, 050 01 mokrá lúka, slovenská republika, spoločníkom pvs s 33 % podielom na jeho základnom imaní, hlasovacích právach a zisku/likvidačnom zostatku je kuv, narodená dňa 14"," spoločníkom pvs 33 % podielom základnom imaní , hlasovacích právo zisku/likvidačnom zostatku byť kuv , narodený deň 21 ",majitel,0
42," bodického 1524/21, 050 01 revúca, slovenská republika a spoločníkom pvs s 34 % podielom na jeho základnom imaní, hlasovacích právach a zisku/likvidačnom zostatku je strana 4 z 6 kuv, narodená dňa 3","1987 , občan slovenský republika , trvalý pobyt mokrý lúka 268 , 050 01 mokrý lúka , slovenský republika , spoločníkom pvs 33 % podielom základnom imaní , hlasovacích právo zisku/likvidačnom zostatku byť kuv , narodená deň 14 ",majitel,0
43," (f) pvs má zriadené odštepné závody s označením pvs, odštepný závod hucín a pvs, odštepný závod tisovec, ktorých vedúcou je pani kuv, narodená dňa 14"," bodického 1524/21 , 050 01 revúca , slovenský republika spoločníkom pvs 34 % podielom základnom imaní , hlasovacích právo zisku/likvidačnom zostatku byť strana 4 6 kuv , narodená deň 3 ",majitel,0
44,verifikačný dokument k overeniu identifikácie kuv spoločnosti pvs - ako pvs - vypracovaný advokátskou kanceláriou poláček £ pvs s," ( f ) pvs mať zriadené odštepné závody označením pvs , odštepný závod hucín pvs , odštepný závod tisovec , vedúcou byť pani kuv , narodená deň 14 ",majitel,0
45, o registri pvs a o zmene a doplnení niektorých zákonov v znení neskorších predpisov za účelom preukázania overenia identifikácie kuv pvs,verifikačný dokument overeniu identifikácie kuv spoločnosť pvs - pvs - vypracovaný advokátskou kanceláriou poláček £ pvs ,majitel,0
46," 114802/b (ďalej len „os identifikácia kuv (a) os si za účelom overenia identifikácie kuv vyžiadala od pvs dokumenty, ktoré jej boli v požadovanom rozsahu poskytnuté, ide najmä o: (1) aktuálny výpis z obchodného registra pvs pre právne úkony, (il) úplne znenie spoločenskej zmluvy pvs vo forme notárskej zápisnice zo dňa 28", registri pvs zmena doplnení zákon znení neskorý predpis účelom preukázanie overenia identifikácie kuv pvs ,majitel,0
47,") má právo vymenovať, inak ustanoviť alebo odvolať vmkuv riadiaci orgán, dozorný orgán alebo kontrolný orgán v spoločnosti pvs alebo akéhokoľvek ich člena, 3"," 114802/b ( ďalej „ os identifikácia kuv ( ) os účelom overenia identifikácie kuv vyžiadala pvs dokument , byť požadovanom rozsahu poskytnuté , ísť najmä : ( 1 ) aktuálny výpis obchodný register pvs právny úkony , ( il ) úplne znenie spoločenskej zmluva pvs forme notárskej zápisnice deň 28 ",majitel,0
48," o ochrane verejného záujmu pri výkone funkcií verejných funkcionárov v znení neskorších predpisov, všetky dokumenty a informácie predložené a poskytnuté os sú pravdivé, aktuálne, úplné, zodpovedajú skutočnému stavu aku dňu podpisu tohto čestného vyhlásenia nenastali žiadne skutočnosti, ktoré by mohli mať vplyv na ich pravdivosť, aktuálnosť a úplnosť, nezamlčala žiadne dokumenty a informácie potrebné pre identifikáciu kuv z vyššie uvedených dokumentov preskúmaných os vyplýva, že pvs je spoločnosťou s ručením obmedzeným zriadenou podľa $ 105 a nasl","1964 , občiansky slovenský republika , trvalý pobyt mokrý lúka 278 , 050 01 mokrý lúka , slovenský republika , kuv spoločnosť , : 1 . ) mápriamy nepriamy podiel súčet najmenej 25 % hlasovacích právo spoločnosť pvs základnom imaní , 2 . ) mať právo vymenovať , inak ustanoviť odvolať vmkuv riadiaci orgán , dozorný orgán kontrolný orgán spoločnosť pvs akýkoľvek člen , 3 . ) ovláda pvs iný spôsob , byť uvedený druhý bode , 4 . ) máprávo hospodársky prospech najmenej 25 % podnikanie pvs iný činnosť , 5 ",majitel,0
49," (d) vmkuv pvs sú konatelia: , pán ing"," ochrane verejný záujem výkone funkcia verejný funkcionár znení neskorý predpis , dokument informácia predložené poskytnuté os byť pravdivý , aktuálne , úplný , zodpovedať skutočnému stav aku dňu podpis čestný vyhlásenie nenastali žiadny skutočnosť , mať vplyv pravdivosť , aktuálnosť úplnosť , nezamlčala žiadny dokument informácia potrebný identifikácia kuv vysoko uvedený dokument preskúmaný os vyplýva , pvs byť spoločnosť ručeniem obmedzeným zriadenou $ 105 nasl ",majitel,0
50," (e) spôsob konania vmkuv v mene pvs: za spoločnosť konajú a podpisujú konatelia samostatne tak, že k obchodnému menu spoločnosti pripoja svoj vlastnoručný podpis"," ( d ) vmkuv pvs byť konatelia : , pán ing ",majitel,0
51," vyhlásenie os os vyhlasuje, že pri overení identifikácie kuv pvs postupovala nestranne a s odbornou starostlivosťou, pričom strana 5 z 6 skutočnosti uvedené v tomto verifikačnom dokumente zodpovedajú ňou skutočne zistenému stavu"," ( e ) spôsob konania vmkuv mene pvs : spoločnosť konať podpisujú konatelia samostatne , obchodnému menu spoločnosť pripoja vlastnoručný podpis ",majitel,0
52, ," vyhlásenie os os vyhlasuje , overení identifikácie kuv pvs postupovala nestranne odborný starostlivosťou , pričom strana 5 6 skutočnosť uvedený verifikačnom dokument zodpovedať skutočne zistenému stav ",majitel,0
53, o registri pvs a o zmene a doplnení niektorých zákonov tento verifikačný dokument preukazuje identifikáciu kuv a overenie identifikácie kuv jeho obsahové náležitosti upravuje $ 11 ods, registri pvs zmena doplnení zákon verifikačný dokument preukazuje identifikácia kuv overenie identifikácie kuv obsahové náležitosti upravuje $ 11 ods ,majitel,0
54, dôvodom vytvorenia tohto dokumentu je špecifikácia vlastníckej a riadiacej štruktúry pvs a prvotné overenie kuv verifikačný dokument obsahuje a uvádza vlastnícku štruktúru a riadiacu štruktúru pvs, dôvod vytvorenie dokument byť špecifikácia vlastnícky riadiacej štruktúry pvs prvotné overenie kuv verifikačný dokument obsahovať uvádzať vlastnícku štruktúru riadiacu štruktúru pvs ,majitel,0
55," os v rámci obstarania informácií o „kúv“ s dôrazom na konanie s odbornou starostlivosťou, požiadala okrem iného zo strany „pvs“ predložiť čestné vyhlásenie kuv v zmysle ktorých sú „kuv“ za „pvs“ osoby spoločníkov"," os rámec obstaranie informácia „ kúv “ dôraz konanie odborný starostlivosťou , požiadala okrem iný strana „ pvs “ predložiť čestné vyhlásenie kuv zmysel byť „ kuv “ „ pvs “ osoba spoločníkov ",majitel,0
56, dôvodom vytvorenia tohto dokumentu je špecifikácia vlastníckej a riadiacej štruktúry pvs a prvotné overenie kuv verifikačný dokument obsahuje a uvádza vlastnícku štruktúru a riadiacu štruktúru pvs, dôvod vytvorenie dokument byť špecifikácia vlastnícky riadiacej štruktúry pvs prvotné overenie kuv verifikačný dokument obsahovať uvádzať vlastnícku štruktúru riadiacu štruktúru pvs ,majitel,0
57," os v rámci obstarania informácií o „kúv“ s dôrazom na konanie s odbornou starostlivosťou, požiadala okrem iného zo strany „pvs“ predložiť čestné vyhlásenie kuv v zmysle ktorých sú „kuv“ za „pvs“ osoby spoločníkov"," os rámec obstaranie informácia „ kúv “ dôraz konanie odborný starostlivosťou , požiadala okrem iný strana „ pvs “ predložiť čestné vyhlásenie kuv zmysel byť „ kuv “ „ pvs “ osoba spoločníkov ",majitel,0
58, a) zákona o rpvs pre účely identifikácie kuv (ďalej len „kúv“) boli os zaobstarané a preskúmané v zmysle § 11 ods, identifikácia kuv pvs § 11 ods . 5 písm . ) zákon rpvs účel identifikácie kuv ( ďalej „ kúv “ ) byť os zaobstarané preskúmané zmysel § 11 ods ,majitel,0
59, odôvodnenie os na základe akých informácii identifikovala kúv: os identifikovala a overila identifikáciu jedného kúv pvs a to: meno a priezvisko: kuv dátum narodenia: 8, odôvodnenie os základ aký informácii identifikovala kúv : os identifikovala overila identifikácia jeden kúv pvs : meno priezvisko : kuv dátum narodenie : 8 ,majitel,0
60," spoločník pvs má 100% podiel na základnom imaní a hlasovacích právach pvs ma právo ako spoločník pvs hlasovať o vymenovaní alebo odvolaní vmkuv spoločnosti, riadiacich orgánov, kontrolných alebo dozorných 2 orgánov pvs a ma právo na hospodársky prospech vo výške 100% z podnikania pvs čím spĺňa definíciu kúv v zmysle zákona o rpvs v spojitosti s § 6a ods"," spoločník pvs mať 100 % podiel základnom imaní hlasovacích právo pvs právo spoločník pvs hlasovať vymenovaní odvolaní vmkuv spoločnosť , riadiacich orgán , kontrolný dozorných 2 orgán pvs právo hospodársky prospech výška 100 % podnikanie pvs spĺňa definícium kúv zmysel zákon rpvs spojitosti § 6a ods ",majitel,0
61,"000,00 €, b) skutočne ovláda a kontroluje pvs nakoľko ako jeho jediný spoločník má 100% podiel na základnom imaní a hlasovacích právach pvs má právo ako spoločník pvs hlasovať o vymenovaní alebo odvolaní vmkuv spoločnosti, riadiacich orgánov, kontrolných alebo dozorných orgánov pvs a má právo na hospodársky prospech vo výške 100% z podnikania pvs c) nie je verejným funkcionárom vykonávajúcim funkciu v slovenskej republike, d) pvs nemá uzatvorený právny vzťah na základe zmluvy o tichom spoločenstve s treťou osobou, e) nemá uzatvorený vzťah s treťou osobou, ktorý by ho obmedzoval v práve vymenovať a odvolať vmkuv riadiaci orgán, dozorný orgán alebo kontrolný orgán pvs f) nemá uzatvorený iný právny vzťah s treťou osobou, ktorý by ho obmedzoval vo výkone práv spoločníka u pvs g) nemá uzatvorený právny vzťah s treťou osobou, na základe ktorého by mala tretia osoba nárok na hospodársky prospech z podnikania pvs alebo z inej jej činnosti, h) nepreviedol svoje právo na vyplatenie podielu zo zisku pvs na tretiu osobu, i) nepreviedol svoje hlasovacie práva u pvs na tretiu osobu","000 ,00 € , b ) skutočne ovláda kontroluje pvs nakoľko jediný spoločník mať 100 % podiel základnom imaní hlasovacích právo pvs mať právo spoločník pvs hlasovať vymenovaní odvolaní vmkuv spoločnosť , riadiacich orgán , kontrolný dozorných orgán pvs mať právo hospodársky prospech výška 100 % podnikanie pvs c ) nie byť verejný funkcionárom vykonávajúcim funkcia slovenský republike , d ) pvs nemať uzatvorený právny vzťah základ zmluva tichom spoločenstvo treťou osobou , e ) nemať uzatvorený vzťah treťou osobou , obmedzoval vymenovať odvolať vmkuv riadiaci orgán , dozorný orgán kontrolný orgán pvs f ) nemať uzatvorený iný právny vzťah treťou osobou , obmedzoval výkone právo spoločník u pvs g ) nemať uzatvorený právny vzťah treťou osobou , základ mať tretí osoba nárok hospodársky prospech podnikanie pvs iný činnosť , h ) nepreviedol právo vyplatenie podiel zisku pvs tretiu osobu , ) nepreviedol hlasovacie právo u pvs tretiu osobu ",majitel,0
62," os nezistila iné tretie osoby, ktoré by ovládali alebo kontrolovali pvs mali hospodársky prospech z podnikania alebo z inej činnosti pvs mali právo vymenovať a odvolať vmkuv riadiaci orgán, dozorný orgán alebo kontrolný orgán pvs že neexistujú iné tretie osoby, na ktoré by boli prevedené hlasovacie práva a mali by priamy alebo nepriamy podiel na hlasovacích právach alebo na základnom imaní pvs ii"," os nezistila iný tretí osoba , ovládali kontrolovať pvs mať hospodársky prospech podnikanie iný činnosť pvs mať právo vymenovať odvolať vmkuv riadiaci orgán , dozorný orgán kontrolný orgán pvs neexistujú iný tretí osoba , byť prevedené hlasovacie právo mať priamy nepriamy podiel hlasovacích právo základnom imaní pvs ii ",majitel,0
63,"000,00 € spoločníci pvs meno a priezvisko: kuv dátum narodenia: 8","000 ,00 € spoločníci pvs meno priezvisko : kuv dátum narodenie : 8 ",majitel,0
64, b) zákona o rpvs na základe vyššie uvedených podkladov boli zistené nasledujúce skutočnosti ohľadom riadiacej štruktúry pvs 3 vmkuv meno a priezvisko: kuv dátum narodenia: 8, riadiaca štruktúra pvs § 11 ods . 5 písm . b ) zákon rpvs základ vysoko uvedený podkladov byť zistené nasledujúce skutočnosť ohľadom riadiacej štruktúry pvs 3 vmkuv meno priezvisko : kuv dátum narodenie : 8 ,majitel,0
65, identifikácia kuv pvs podľa § 11 ods, identifikácia kuv pvs § 11 ods ,majitel,0
